listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates,track_type,rcept_no,report_nm,rcept_dt,dart_url,filing_search_result
2024-08-20,넥스트바이오메디컬,01385050,389650,넥스트바이오메디컬,exact,False,30.6,42.56,36.58,,,general,20240806000195,[발행조건확정]증권신고서(지분증권),20240806,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240806000195,ok_pri1
2024-08-23,이엔셀,01544468,456070,이엔셀,exact,False,23.45,31.96,27.705,,,general,20240809000231,[발행조건확정]증권신고서(지분증권),20240809,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240809000231,ok_pri1
2024-09-23,아이언디바이스,01706794,464500,아이언디바이스,exact,False,25.45,35.91,30.68,,,general,20240906000321,[발행조건확정]증권신고서(지분증권),20240906,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240906000321,ok_pri1
2024-10-16,셀비온,01275489,308430,셀비온,exact,False,41.32,51.1,46.21,,,general,20241004000196,[발행조건확정]증권신고서(지분증권),20241004,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241004000196,ok_pri1
2024-10-21,루미르,01636565,474170,루미르,exact,False,21.36,36.7,29.03,,,general,20241008000444,[발행조건확정]증권신고서(지분증권),20241008,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241008000444,ok_pri1
2024-10-24,씨메스,01588189,475400,씨메스로보틱스,partial,False,15.71,29.76,22.735,부분 매칭: 씨메스 → 씨메스로보틱스,,general,20241014000121,[기재정정]증권신고서(지분증권),20241014,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241014000121,ok_pri2
2024-10-25,웨이비스,01270749,289930,웨이비스,exact,False,17.97,27.81,22.89,,,general,20241016000084,[발행조건확정]증권신고서(지분증권),20241016,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241016000084,ok_pri1
2024-10-28,클로봇,01784914,466100,클로봇,exact,False,25.22,35.51,30.365,,,general,20241015000370,[발행조건확정]증권신고서(지분증권),20241015,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241015000370,ok_pri1
2024-11-05,에이치이엠파마,,,,not_found,True,24.72,35.02,29.87,,,general,,,,,no_corp_code
2024-11-07,토모큐브,01573336,475960,토모큐브,exact,False,14.51,30.46,22.485,,,general,20241025000261,[발행조건확정]증권신고서(지분증권),20241025,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241025000261,ok_pri1
2024-11-08,에어레인,01663116,163280,에어레인,exact,False,30.8,40.15,35.475,,,general,20241023000152,[발행조건확정]증권신고서(지분증권),20241023,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241023000152,ok_pri1
2024-11-14,쓰리빌리언,01506617,394800,쓰리빌리언,exact,False,11.15,38.49,24.82,,,general,20241101000139,[발행조건확정]증권신고서(지분증권),20241101,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241101000139,ok_pri1
2024-12-18,온코크로스,01423916,382150,온코크로스,exact,False,15.18,30.35,22.765,,,general,20241205000549,[발행조건확정]증권신고서(지분증권),20241205,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241205000549,ok_pri1
2024-12-19,온코닉테라퓨틱스,01632912,476060,온코닉테라퓨틱스,exact,False,24.44,32.83,28.635,,,general,20241205000262,[발행조건확정]증권신고서(지분증권),20241205,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241205000262,ok_pri1
2024-12-24,쓰리에이로직스,00870065,177900,쓰리에이로직스,exact,False,45.4,52.9,49.15,,,general,20241212000606,[발행조건확정]증권신고서(지분증권),20241212,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241212000606,ok_pri1
2024-12-26,파인메딕스,01455410,387570,파인메딕스,exact,False,32.81,39.53,36.17,,,general,20241213000142,[발행조건확정]증권신고서(지분증권),20241213,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241213000142,ok_pri1
2025-01-24,와이즈넛,00351427,096250,와이즈넛,exact,False,29.08,34.53,31.805,,,general,20250114000177,[기재정정]증권신고서(지분증권),20250114,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250114000177,ok_pri2
2025-02-04,아이지넷,01728167,462980,아이지넷,exact,False,26.96,37.39,32.175,,,general,20250117000291,[발행조건확정]증권신고서(지분증권),20250117,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250117000291,ok_pri1
2025-02-12,아이에스티이,01208751,212710,아이에스티이,exact,False,38.0,47.5,42.75,,,general,20250131000259,[발행조건확정]증권신고서(지분증권),20250131,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250131000259,ok_pri1
2025-02-14,오름테라퓨틱,01658831,475830,오름테라퓨틱,exact,False,65.27,72.22,68.745,,,general,20250203000294,[발행조건확정]증권신고서(지분증권),20250203,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250203000294,ok_pri1
2025-05-09,오가노이드사이언스,01626391,476040,오가노이드사이언스,exact,False,18.88,34.33,26.605,,,general,20250424000315,[발행조건확정]증권신고서(지분증권),20250424,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250424000315,ok_pri1
2025-05-19,이뮨온시아,01203659,424870,이뮨온시아,exact,False,32.09,43.3,37.695,,,general,20250430001250,[발행조건확정]증권신고서(지분증권),20250430,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250430001250,ok_pri1
2025-05-23,인투셀,01374443,287840,인투셀,exact,False,25.8,45.4,35.6,,,general,20250512000686,[발행조건확정]증권신고서(지분증권),20250512,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250512000686,ok_pri1
2025-06-10,링크솔루션,01764099,474650,링크솔루션,exact,False,42.87,50.32,46.595,,,general,20250526000299,[발행조건확정]증권신고서(지분증권),20250526,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250526000299,ok_pri1
2025-06-11,지씨지놈,01432598,340450,지씨지놈,exact,False,25.74,36.35,31.045,,,general,20250527000209,[발행조건확정]증권신고서(지분증권),20250527,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250527000209,ok_pri1
