company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source
하이젠알앤엠,2024-06-27,650771,20240617000110,[발행조건확정]증권신고서(지분증권),general,19.13,33.83,26.48,4500.0,5500.0,5000.0,7000.0,0.4,,,33.44,EV/EBITDA,6801.0,,3400000.0,,19.13,33.83,26.48,코스닥,0.0,0.0,4.0,ok,575891.0,-2.926,0.0,OK,,,,
그리드위즈,2024-06-14,1299203,20240531001586,[발행조건확정]증권신고서(지분증권),general,43.11,51.65,47.38,34000.0,40000.0,37000.0,40000.0,0.0811,,,,PER,70315.0,,1400000.0,56000000000.0,43.11,51.65,47.38,코스닥,0.0,0.0,3.0,partial,669538.0,43.1131,0.0,OK,,,,
노브랜드,2024-05-24,305941,20240510000090,[발행조건확정]증권신고서(지분증권),general,14.45,32.34,23.395000000000003,8700.0,11000.0,9850.0,14000.0,0.4213,,,,PER,12858.0,9950113.0,1200000.0,16800000000.0,14.45,32.34,23.395,코스닥,0.0,0.0,3.0,partial,622237.0,-8.8816,0.0,OK,,,,
코칩,2024-05-07,446901,20240423000279,[발행조건확정]증권신고서(지분증권),general,9.08,28.57,18.825,11000.0,14000.0,12500.0,18000.0,0.44,,,22.52,EV/EBITDA,15399.0,,1500000.0,18000.0,9.08,28.57,18.825,코스닥,0.0,0.0,4.0,ok,652369.0,-16.8907,0.0,OK,,,,
오상헬스케어,2024-03-13,260657,20240229002403,[기재정정]증권신고서(지분증권),general,39.89,47.91,43.9,13000.0,15000.0,14000.0,20000.0,0.4286,1210.0,12.1,,EV/EBITDA,24954.0,14989416.0,990000.0,,39.89,47.91,43.9,,0.0,0.0,4.0,ok,4526431.0,19.8525,0.0,OK,,,,
스튜디오삼익,2024-02-06,1540815,20240124000150,[발행조건확정]증권신고서(지분증권),general,19.62,29.36,24.49,14500.0,16500.0,15500.0,18000.0,0.1613,,,,PER,20526.0,,,15300000000.0,19.62,29.36,24.49,코스닥,0.0,0.0,3.0,partial,400382.0,12.3063,0.0,OK,,,,
이닉스,2024-02-01,338170,20240119000136,[발행조건확정]증권신고서(지분증권),general,21.93,34.71,28.32,9200.0,11000.0,10100.0,14000.0,0.3861,,,,PER,14090.0,,3000000.0,42000000000.0,21.93,34.71,28.32,코스닥,0.0,0.0,3.0,partial,612198.0,0.6388,0.0,OK,,,,
포스뱅크,2024-01-29,862312,20240115000358,[발행조건확정]증권신고서(지분증권),general,17.23,28.26,22.745,13000.0,15000.0,14000.0,18000.0,0.2857,,,,PER,18122.0,,1500000.0,27000000000.0,17.23,28.26,22.745,코스닥,0.0,0.0,3.0,partial,418687.0,0.6732,0.0,OK,,,,
현대힘스,2024-01-26,667373,20240116000199,[발행조건확정]증권신고서(지분증권),general,24.2,39.84,32.02,5000.0,6300.0,5650.0,7300.0,0.292,,,,PER,8311.0,,8707000.0,63561100000.0,24.2,39.84,32.02,코스닥,0.0,0.0,3.0,partial,320502.0,12.1646,0.0,OK,,,,
HB인베스트먼트,2024-01-25,309460,20240115000371,[발행조건확정]증권신고서(지분증권),general,26.62,37.1,31.86,,,,,,,,,PER,,,,22667800000.0,,,,,0.0,0.0,0.0,fail,31097.0,,,NO_XML_DR,,,,
