company_name,listing_date,corp_code,stock_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source,dart_revenue_bn,dart_op_income_bn,dart_net_income_bn,dart_assets_bn,dart_equity_bn,dart_bsns_year,dart_reprt_code,dart_debt_ratio,dart_op_margin,net_income_source,source_dataset
루닛,2022-07-21,01397620,328130,20220711000248,[발행조건확정]증권신고서(지분증권),general,38.1,44.4,41.25,44000.0,49000.0,46500.0,30000.0,-0.3548,58349.0,583.49,34.82,PER,79178.0,22055945.0,1215800.0,36474000000.0,38.11,44.43,41.27,코스닥,0.0,0.0,5.0,ok,836009.0,62.1107,0.02,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
루미르,2024-10-21,01636565,474170,20241008000444,[발행조건확정]증권신고서(지분증권),general,21.36,36.7,29.03,16500.0,20500.0,18500.0,12000.0,-0.3514,17652.0,176.52,28.35,PER,26068.0,19198502.0,2400000.0,28800000000.0,21.36,36.7,29.03,코스닥,0.0,0.0,5.0,ok,689910.0,53.9665,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
리브스메드,2025-12-24,01385005,491000,20251212000518,[발행조건확정]증권신고서(지분증권),general,27.13,41.7,34.415,44000.0,55000.0,49500.0,55000.0,0.1111,42995.0,429.95,45.5,PER,75474.0,25919737.0,2470000.0,135850000000.0,27.13,41.7,34.415,코스닥,0.0,0.0,5.0,ok,1240739.0,27.1272,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
링크솔루션,2025-06-10,01764099,474650,20250526000299,[발행조건확정]증권신고서(지분증권),general,42.87,50.32,46.595,20000.0,23000.0,21500.0,23000.0,0.0698,7771.0,77.71,30.08,PER,40259.0,5806432.0,,20700000000.0,42.87,50.32,46.595,코스닥,0.0,0.0,5.0,ok,426880.0,42.8699,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
마녀공장,2023-06-08,1136977,439090,20230524000321,[발행조건확정]증권신고서(지분증권),general,37.32,46.28,41.8,12000.0,14000.0,13000.0,16000.0,0.2308,,,,PER,22337.0,,,32000000000.0,37.32,46.28,41.8,코스닥,0.0,0.0,3.0,partial,341158.0,28.37,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
메가터치,2023-11-09,923516,446540,20231030000175,[발행조건확정]증권신고서(지분증권),general,19.83,29.85,24.84,3500.0,4000.0,3750.0,4800.0,0.28,,,,PER,4989.0,,5200000.0,24960000000.0,19.83,29.85,24.84,코스닥,0.0,0.0,3.0,partial,605141.0,3.7883,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
모니터랩,2023-05-19,01583652,434480,20230508000469,[발행조건확정]증권신고서(지분증권),general,30.6,46.9,38.75,7500.0,9800.0,8650.0,9800.0,0.1329,,,,PER,,,2000000.0,19600000000.0,,,,코스닥,0.0,0.0,3.0,partial,342877.0,,,NO_XML_DR,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
모아데이타,2022-03-10,01423837,288980,20220224002200,[발행조건확정]증권신고서(지분증권),general,15.9,27.9,21.9,24000.0,28000.0,26000.0,20000.0,-0.2308,,10.8341,,PER,33286.0,,24000.0,16000000000.0,15.9,27.9,21.9,코스닥,0.0,0.0,3.0,partial,299677.0,39.9147,0.0,OK,,,,,196.4252,27.0973,10.8341,248.7891,193.4073,2021.0,11011.0,28.63,13.8,dart_api,peer_group_expanded_features_enriched.csv
모티브링크,2025-02-20,367400,463480,20250210000466,[발행조건확정]증권신고서(지분증권),general,16.98,29.43,23.205,5100.0,6000.0,5550.0,6000.0,0.0811,3204.0,32.04,,PER,7227.0,12390358.0,3020590.0,18123540000.0,17.53,29.88,23.705,코스닥,0.0,0.0,4.0,ok,507340.0,16.978,0.5,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
미트박스,2025-01-23,1374717,475460,20250110000703,[발행조건확정]증권신고서(지분증권),general,29.18,41.5,35.34,19000.0,23000.0,21000.0,19000.0,-0.0952,,,,PER,32478.0,5642150.0,1000000.0,19000000000.0,29.18,41.5,35.34,코스닥,0.0,0.0,3.0,partial,467403.0,41.4989,0.0,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
