company_name,rcept_no,report_nm,track_type,extraction_status,filled_key_fields,xml_size,price_band_low,price_band_high,final_offering_price,net_income_bn,peer_per,per_stock_value,offering_shares,listing_market
에이유브랜즈,20250321000213,[발행조건확정]증권신고서(지분증권),general,ok,5.0,590422.0,14000.0,16000.0,16000.0,106.5827,23.47,17542.0,60000.0,코스닥
에이직랜드,20231031000244,[발행조건확정]증권신고서(지분증권),general,ok,4.0,768583.0,19100.0,21400.0,25000.0,61.75,,30998.0,2636330.0,코스닥
에이치브이엠,20240618000224,[발행조건확정]증권신고서(지분증권),general,partial,3.0,604048.0,11000.0,14200.0,18000.0,,,17139.0,2400000.0,코스닥
에이치엔에스하이텍,20241011000542,[발행조건확정]증권신고서(지분증권),general,ok,4.0,390590.0,22000.0,26000.0,22000.0,130.8217,,32247.0,500000.0,코스닥
에이치이엠파마,,,general,no_rcept_no,,,,,,,,,,
에이텀,20231117000115,[발행조건확정]증권신고서(지분증권),general,partial,3.0,345329.0,23000.0,30000.0,18000.0,,,40043.0,19500.0,코스닥
에이프릴바이오,20220718000098,[발행조건확정]증권신고서(지분증권),general,ok,5.0,542492.0,20000.0,23000.0,16000.0,280.58,29.58,37346.0,1296000.0,코스닥
에임드바이오,20251120000438,[발행조건확정]증권신고서(지분증권),general,ok,5.0,555802.0,9000.0,11000.0,11000.0,464.61,22.2,15483.0,6430000.0,코스닥
에코아이,20231109000215,[발행조건확정]증권신고서(지분증권),general,ok,5.0,565521.0,28500.0,34700.0,34700.0,174.74,23.24,41085.0,2079000.0,코스닥
엑셀세라퓨틱스,20240702000251,[발행조건확정]증권신고서(지분증권),general,partial,3.0,509261.0,6200.0,7700.0,10000.0,,,10186.0,1618000.0,코스닥
엔알비,20250716000293,[발행조건확정]증권신고서(지분증권),general,ok,5.0,845416.0,18000.0,21000.0,21000.0,217.38,16.08,23330.0,2100000.0,코스닥
엔젤로보틱스,20240313000679,[발행조건확정]증권신고서(지분증권),general,partial,3.0,317697.0,11000.0,15000.0,20000.0,,,18030.0,1600000.0,코스닥
엔젯,20221108000080,[발행조건확정]증권신고서(지분증권),general,partial,3.0,374875.0,12000.0,15200.0,10000.0,,,19055.0,63000.0,코스닥
엘비인베스트먼트,,,general,no_rcept_no,,,,,,,,,,
엘케이켐,20250212000695,[발행조건확정]증권신고서(지분증권),general,ok,4.0,393939.0,18000.0,21000.0,21000.0,81.97,,29883.0,,코스닥
엠83,,,general,no_rcept_no,,,,,,,,,,
엠디바이스,20250221000431,[발행조건확정]증권신고서(지분증권),general,ok,5.0,855116.0,7200.0,8350.0,8350.0,93.85,15.95,13942.0,1260000.0,코스닥
엠아이큐브솔루션,20230725000127,[발행조건확정]증권신고서(지분증권),general,partial,3.0,404009.0,8500.0,10000.0,12000.0,,,13242.0,,코스닥
엠오티,20241106000087,[발행조건확정]증권신고서(지분증권),general,ok,4.0,620383.0,12000.0,14000.0,10000.0,70.23,,14970.0,1750000.0,코스닥
영창케미칼,,,general,no_rcept_no,,,,,,,,,,
오가노이드사이언스,20250424000315,[발행조건확정]증권신고서(지분증권),general,ok,4.0,375349.0,17000.0,21000.0,21000.0,103.05,,25888.0,36000.0,코스닥
오름테라퓨틱,20250203000294,[발행조건확정]증권신고서(지분증권),general,ok,4.0,530241.0,24000.0,30000.0,20000.0,992.9012,,86388.0,2500000.0,코스닥
오브젠,20230113000327,[발행조건확정]증권신고서(지분증권),general,partial,3.0,329876.0,18000.0,24000.0,18000.0,,,30843.0,23279.0,코스닥
오상헬스케어,20240229002403,[기재정정]증권신고서(지분증권),general,ok,5.0,4526431.0,13000.0,15000.0,20000.0,12.1,78.34,24954.0,990000.0,
오픈놀,20230620000336,[기재정정]증권신고서(지분증권),general,partial,3.0,2922514.0,,,10000.0,151.17,18.31,15584.0,1650000.0,
온코닉테라퓨틱스,20241205000262,[발행조건확정]증권신고서(지분증권),general,ok,4.0,492449.0,16000.0,18000.0,13000.0,,24.82,23821.0,46500.0,코스닥
온코크로스,20241205000549,[발행조건확정]증권신고서(지분증권),general,ok,4.0,451209.0,10100.0,12300.0,7300.0,99.04,,14502.0,1423000.0,코스닥
와이랩,20230706000314,[발행조건확정]증권신고서(지분증권),general,partial,3.0,471971.0,7000.0,8000.0,9000.0,,,10470.0,90000.0,코스닥
와이바이오로직스,20231121000049,[발행조건확정]증권신고서(지분증권),general,partial,3.0,709998.0,9000.0,11000.0,9000.0,,,17136.0,1500000.0,코스닥
와이제이링크,20241007000466,[발행조건확정]증권신고서(지분증권),general,ok,5.0,931540.0,8600.0,9800.0,12000.0,70.54,32.23,12714.0,3560000.0,코스닥
